2,10/2/2021 0:00, GPU temperature     ,GPU usage           ,Core clock          ,Memory clock        ,CPU temperature     ,CPU usage           ,CPU clock           ,Framerate           ,Frametime                           
80,10/2/2021 0:05, 81.000              ,98.000              ,1670.500            ,4006.800            ,67.000              ,54.958              ,4208.395            ,58.900              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1594.500            ,4006.800            ,68.000              ,53.320              ,4208.394            ,54.700              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1582.000            ,4006.800            ,68.000              ,61.328              ,4208.394            ,54.000              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1607.000            ,4006.800            ,69.000              ,57.422              ,4208.394            ,53.700              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1594.500            ,4006.800            ,68.000              ,52.734              ,4208.393            ,53.200              ,0.000               
80,10/2/2021 0:05, 82.000              ,98.000              ,1569.000            ,4006.800            ,68.000              ,48.438              ,4208.393            ,53.800              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1556.500            ,4006.800            ,68.000              ,51.163              ,4208.394            ,55.000              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1569.000            ,4006.800            ,67.000              ,53.176              ,4208.395            ,52.800              ,0.000               
80,10/2/2021 0:05, 82.000              ,98.000              ,1594.500            ,4006.800            ,67.000              ,53.711              ,4208.394            ,52.200              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1556.500            ,4006.800            ,64.000              ,51.172              ,4208.394            ,52.500              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1569.000            ,4006.800            ,63.000              ,36.719              ,4208.394            ,54.500              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1518.500            ,4006.800            ,65.000              ,38.281              ,4208.394            ,54.500              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1506.000            ,4006.800            ,67.000              ,45.117              ,4208.394            ,52.800              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1506.000            ,4006.800            ,61.000              ,38.086              ,4208.394            ,52.000              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1556.500            ,4006.800            ,69.000              ,35.742              ,4208.394            ,51.300              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1506.000            ,4006.800            ,66.000              ,50.586              ,4208.394            ,50.800              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1506.000            ,4006.800            ,68.000              ,57.422              ,4208.394            ,50.300              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1531.000            ,4006.800            ,70.000              ,66.016              ,4208.394            ,47.400              ,0.000               
80,10/2/2021 0:05, 82.000              ,100.000             ,1518.500            ,4006.800            ,70.000              ,64.258              ,4208.394            ,46.600              ,0.000               
80,10/2/2021 0:05, 82.000              ,99.000              ,1518.500            ,4006.800            ,72.000              ,69.531              ,4208.393            ,46.000              ,0.000               
